Name,Icon,Description
Birthday,cake,Birthday celebrations
Education,graduation-cap,Educational milestones
House,house,Moving houses
Music,music,Musical releases and concerts
Sport,trophy,Sporting events
Wedding,heart,Weddings and ceremonies
Work,briefcase,Career and work events
